,realtive_path,flow_rate,Y,,,
0,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_0.wav,0.289659003,0,,,
1,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_1.wav,0.229725953,0,,,
2,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_2.wav,0.225859304,0,,,
3,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_3.wav,0.23327038,0,,,
4,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_4.wav,0.227470408,0,,,Low noise
5,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_5.wav,0.232303718,0,,,
6,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_6.wav,0.232303718,0,,,
7,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_7.wav,0.230048173,0,,,
8,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_8.wav,0.231659277,0,,,
9,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_9.wav,0.228759291,0,,,
10,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_10.wav,0.231981498,0,,,
11,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_11.wav,0.229725953,0,,,
12,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_12.wav,0.236170367,0,,,
13,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_13.wav,0.238748132,0,,,
14,/experiments/exp/audio_records/dis0_with_lnoise/without_leak/output0_14.wav,0.234881484,0,,,
15,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_0.wav,4.65188286,1,,,
16,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_1.wav,4.945103698,1,,,
17,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_2.wav,5.116525111,1,,,
18,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_3.wav,5.219635736,1,,,
19,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_4.wav,5.291813173,1,,,
20,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_5.wav,5.333379644,1,,,
21,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_6.wav,5.361735065,1,,,
22,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_7.wav,5.383323852,1,,,
23,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_8.wav,5.401368212,1,,,
24,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_9.wav,5.415545922,1,,,
25,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_10.wav,5.424890323,1,,,
26,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_11.wav,5.431979178,1,,,
27,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_12.wav,5.440034696,1,,,
28,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_13.wav,5.447123551,1,,,
29,/experiments/exp/audio_records/dis0_with_lnoise/with_leak/output0_14.wav,5.448090213,1,,,
30,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_0.wav,0.248414753,0,,,
31,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_1.wav,0.250670298,0,,,
32,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_2.wav,0.242937001,0,,,
33,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_3.wav,0.249059195,0,,,
34,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_4.wav,0.240037015,0,,,
35,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_5.wav,0.239392574,0,,,
36,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_6.wav,0.24229256,0,,,
37,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_7.wav,0.237137029,0,,,
38,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_8.wav,0.235848146,0,,,
39,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_9.wav,0.240681456,0,,,
40,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_10.wav,0.24229256,0,,,
41,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_11.wav,0.241970339,0,,,
42,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_12.wav,0.241970339,0,,,
43,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_13.wav,0.232625939,0,,,
44,/experiments/exp/audio_records/dis20_with_lnoise/without_leak/output0_14.wav,0.237459249,0,,,
45,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_0.wav,4.652527301,1,,,
46,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_1.wav,4.935759298,1,,,
47,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_2.wav,5.101058518,1,,,
48,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_3.wav,5.201913597,1,,,
49,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_4.wav,5.266679958,1,,,
50,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_5.wav,5.305346443,1,,,
51,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_6.wav,5.33627963,1,,,
52,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_7.wav,5.356257313,1,,,
53,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_8.wav,5.373657231,1,,,
54,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_9.wav,5.385579397,1,,,
55,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_10.wav,5.393957135,1,,,
56,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_11.wav,5.401045991,1,,,
57,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_12.wav,5.40523486,1,,,
58,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_13.wav,5.412323715,1,,,
59,/experiments/exp/audio_records/dis20_with_lnoise/with_leak/output0_14.wav,5.416834805,1,,,
60,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_0.wav,0.206848283,0,,,
61,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_1.wav,0.207814945,0,,,
62,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_2.wav,0.209426048,0,,,
63,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_3.wav,0.204592738,0,,,
64,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_4.wav,0.2055594,0,,,
65,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_5.wav,0.205237179,0,,,
66,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_6.wav,0.206203841,0,,,
67,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_7.wav,0.205237179,0,,,
68,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_8.wav,0.202659414,0,,,
69,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_9.wav,0.202014972,0,,,
70,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_10.wav,0.202014972,0,,,
71,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_11.wav,0.202337193,0,,,
72,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_12.wav,0.198792765,0,,,
73,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_13.wav,0.200081648,0,,,
74,/experiments/exp/audio_records/dis50_with_lnoise/without_leak/output0_14.wav,0.199437207,0,,,
75,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_0.wav,4.61063861,1,,,
76,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_1.wav,4.892903945,1,,,
77,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_2.wav,5.063036475,1,,,
78,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_3.wav,5.16195823,1,,,
79,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_4.wav,5.225757929,1,,,
80,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_5.wav,5.270224386,1,,,
81,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_6.wav,5.29954647,1,,,
82,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_7.wav,5.314046401,1,,,
83,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_8.wav,5.332090761,1,,,
84,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_9.wav,5.339501837,1,,,
85,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_10.wav,5.35013512,1,,,
86,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_11.wav,5.358835079,1,,,
87,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_12.wav,5.360123962,1,,,
88,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_13.wav,5.373657231,1,,,
89,/experiments/exp/audio_records/dis50_with_lnoise/with_leak/output0_14.wav,5.371079466,1,,,
90,/experiments/exp/audio_records/dis-20_with_lnoise/with_leak/output0_0.wav,0.194603896,0,,,
